sample,fastq_1,fastq_2
CSU20483,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20483_S32_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20483_S32_L001_R2_001.fastq.gz
CSU20621,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20621_S43_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20621_S43_L001_R2_001.fastq.gz
CSU20344,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20344_S17_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20344_S17_L001_R2_001.fastq.gz
CSU20425,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20425_S25_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20425_S25_L001_R2_001.fastq.gz
CSU20863,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20863_S76_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20863_S76_L001_R2_001.fastq.gz
CSU20862,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20862_S75_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20862_S75_L001_R2_001.fastq.gz
CSU20124,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20124_S7_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20124_S7_L001_R2_001.fastq.gz
CSU20662,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20662_S49_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20662_S49_L001_R2_001.fastq.gz
CSU20598-neg,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20598-neg_S44_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20598-neg_S44_L001_R2_001.fastq.gz
CSU20073,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20073_S2_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/raw_reads/wnv-s-23_R1.1__2540EBE__/CSU20073_S2_L001_R2_001.fastq.gz
