sample,fastq_1,fastq_2
CSU18718,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18718_S49_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18718_S49_L001_R2_001.fastq.gz
CSU18685,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18685_S57_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18685_S57_L001_R2_001.fastq.gz
CSU18285,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18285_S91_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18285_S91_L001_R2_001.fastq.gz
CSU18386,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18386_S85_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18386_S85_L001_R2_001.fastq.gz
CSU18827,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18827_S42_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18827_S42_L001_R2_001.fastq.gz
CSU18217,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18217_S92_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18217_S92_L001_R2_001.fastq.gz
CSU18819,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18819_S39_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18819_S39_L001_R2_001.fastq.gz
CSU18231,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18231_S2_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18231_S2_L001_R2_001.fastq.gz
CSU18803,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18803_S38_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18803_S38_L001_R2_001.fastq.gz
CSU18584,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18584_S63_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18584_S63_L001_R2_001.fastq.gz
CSU19708,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19708_S19_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19708_S19_L001_R2_001.fastq.gz
CSU18634,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18634_S61_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18634_S61_L001_R2_001.fastq.gz
cDNA-NC,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/cDNA-NC_S95_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/cDNA-NC_S95_L001_R2_001.fastq.gz
CSU18544,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18544_S64_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18544_S64_L001_R2_001.fastq.gz
CSU18657,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18657_S53_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18657_S53_L001_R2_001.fastq.gz
CSU18500,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18500_S69_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18500_S69_L001_R2_001.fastq.gz
CSU18852,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18852_S35_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18852_S35_L001_R2_001.fastq.gz
CSU18686,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18686_S58_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18686_S58_L001_R2_001.fastq.gz
CSU19998,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19998_S70_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19998_S70_L001_R2_001.fastq.gz
CSU18629,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18629_S60_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18629_S60_L001_R2_001.fastq.gz
CSU18809,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18809_S36_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18809_S36_L001_R2_001.fastq.gz
CSU18742,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18742_S51_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18742_S51_L001_R2_001.fastq.gz
